
 --- Table  1: Summary of nuclide data: 

 Data for 282 nuclides included in calculation:

 - 282 Transport nuclides
 - No dosimetry nuclides
 - No decay nuclides
 - 8094 reaction channels
 - 3441 special reactions
 - No transmutation reactions
 - 79 transmutation branch reactions
 - No decay reactions
 - No decay branch reactions
 - All reaction linked to target

 Columns:

  1. Index
  2. Level (first occurence in transmutation paths)
  3. Name (nuclide identifier data)
  4. Library ID
  5. Primary data type: TRA = transport
                        DOS = dosimetry
                        SAB = thermal scattering
                        DEC = only decay data
                        STR = only structural data (mass)
                        PHO = photon interaction data
  6. Z (atomic number)
  7. A (isotope number)
  8. I (isomeric state)
  9. Atomic weight
 10. Temperature (in Kelvin)
 11. Decay constant (1/s)
 12. Flags: I - nuclide is present in initial composition
            B - nuclide is involved in burnup calculation
            A - nuclide is produced as activation product
            D - nuclide is produced as decay product
            F - nuclide is produced as fission product
            B - nuclide is produced in decay or transmutation branching
            T - nuclide has neutron transport cross section data
            S - nuclide has S(a,b) data
            I - nuclide has isomeric branching reactions
            F - nuclide is fissile
            P - nuclide is a delayed neutron precursor
            D - nuclide has delayed neutron data
            U - nuclide has uses ures ptable data
            T - nuclide cross sections are adjusted by TMS
            D - nuclide has dosimetry cross section data
            R - nuclide has radioactive decay data
            N - nuclide has neutron-induced fission yield data
            S - nuclide has spontaneous fission yield data
            P - nuclide has photon transport cross section data
            T - nuclide has supplementary transmutation cross section data

   43   0  37085.09c     09c  TRA   37  85 0   84.91184   908.0          N/A  I-----T-I-----------  rubidium 85 (Rb-85)
   44   0  37086.09c     09c  TRA   37  86 0   85.91112   908.0          N/A  I-----T-------------  rubidium 86 (Rb-86)
   45   0  37087.09c     09c  TRA   37  87 0   86.90919   908.0          N/A  I-----T-------------  rubidium 87 (Rb-87)
   46   0  38084.09c     09c  TRA   38  84 0   83.91346   908.0          N/A  I-----T-I-----------  strontium 84 (Sr-84)
   47   0  38086.09c     09c  TRA   38  86 0   85.90931   908.0          N/A  I-----T-I-----------  strontium 86 (Sr-86)
   48   0  38087.09c     09c  TRA   38  87 0   86.90889   908.0          N/A  I-----T-------------  strontium 87 (Sr-87)
   49   0  38088.09c     09c  TRA   38  88 0   87.90515   908.0          N/A  I-----T-------------  strontium 88 (Sr-88)
   50   0  38089.09c     09c  TRA   38  89 0   88.90776   908.0          N/A  I-----T-------------  strontium 89 (Sr-89)
   51   0  38090.09c     09c  TRA   38  90 0   89.90765   908.0          N/A  I-----T-------------  strontium 90 (Sr-90)
   52   0  39089.09c     09c  TRA   39  89 0   88.90575   908.0          N/A  I-----T-I-----------  yttrium 89 (Y-89)
   53   0  39090.09c     09c  TRA   39  90 0   89.90715   908.0          N/A  I-----T-I-----------  yttrium 90 (Y-90)
   54   0  39091.09c     09c  TRA   39  91 0   90.90735   908.0          N/A  I-----T-------------  yttrium 91 (Y-91)
   55   0  40090.09c     09c  TRA   40  90 0   89.90473   908.0          N/A  I-----T-------------  zirconium 90 (Zr-90)
   56   0  40091.09c     09c  TRA   40  91 0   90.90563   908.0          N/A  I-----T-------------  zirconium 91 (Zr-91)
   57   0  40092.09c     09c  TRA   40  92 0   91.90501   908.0          N/A  I-----T-------------  zirconium 92 (Zr-92)
   58   0  40093.09c     09c  TRA   40  93 0   92.90651   908.0          N/A  I-----T-------------  zirconium 93 (Zr-93)
   59   0  40094.09c     09c  TRA   40  94 0   93.90631   908.0          N/A  I-----T-------------  zirconium 94 (Zr-94)
   60   0  40095.09c     09c  TRA   40  95 0   94.90801   908.0          N/A  I-----T-------------  zirconium 95 (Zr-95)
   61   0  40096.09c     09c  TRA   40  96 0   95.90830   908.0          N/A  I-----T-------------  zirconium 96 (Zr-96)
   62   0  41093.09c     09c  TRA   41  93 0   92.90319   908.0          N/A  I-----T-I-----------  niobium 93 (Nb-93)
   63   0  41094.09c     09c  TRA   41  94 0   93.90731   908.0          N/A  I-----T-I-----------  niobium 94 (Nb-94)
   64   0  41095.09c     09c  TRA   41  95 0   94.90680   908.0          N/A  I-----T-------------  niobium 95 (Nb-95)
   65   0  42092.09c     09c  TRA   42  92 0   91.90683   908.0          N/A  I-----T-I-----------  molybdenum 92 (Mo-92)
   66   0  42094.09c     09c  TRA   42  94 0   93.90509   908.0          N/A  I-----T-------------  molybdenum 94 (Mo-94)
   67   0  42095.09c     09c  TRA   42  95 0   94.90589   908.0          N/A  I-----T-------------  molybdenum 95 (Mo-95)
   68   0  42096.09c     09c  TRA   42  96 0   95.90467   908.0          N/A  I-----T-------------  molybdenum 96 (Mo-96)
   69   0  42097.09c     09c  TRA   42  97 0   96.90598   908.0          N/A  I-----T-------------  molybdenum 97 (Mo-97)
   70   0  42098.09c     09c  TRA   42  98 0   97.90536   908.0          N/A  I-----T-------------  molybdenum 98 (Mo-98)
   71   0  42099.09c     09c  TRA   42  99 0   98.90767   908.0          N/A  I-----T-------------  molybdenum 99 (Mo-99)
   72   0  42100.09c     09c  TRA   42 100 0   99.90726   908.0          N/A  I-----T-------------  molybdenum 100 (Mo-100)
   73   0  43099.09c     09c  TRA   43  99 0   98.90626   908.0          N/A  I-----T-------------  technetium 99 (Tc-99)
   74   0  44098.09c     09c  TRA   44  98 0   97.90526   908.0          N/A  I-----T-------------  ruthenium 98 (Ru-98)
   75   0  44099.09c     09c  TRA   44  99 0   98.90585   908.0          N/A  I-----T-------------  ruthenium 99 (Ru-99)
   76   0  44100.09c     09c  TRA   44 100 0   99.90423   908.0          N/A  I-----T-------------  ruthenium 100 (Ru-100)
   77   0  44101.09c     09c  TRA   44 101 0  100.90584   908.0          N/A  I-----T-------------  ruthenium 101 (Ru-101)
   78   0  44102.09c     09c  TRA   44 102 0  101.90542   908.0          N/A  I-----T-------------  ruthenium 102 (Ru-102)
   79   0  44103.09c     09c  TRA   44 103 0  102.90400   908.0          N/A  I-----T-------------  ruthenium 103 (Ru-103)
   80   0  44104.09c     09c  TRA   44 104 0  103.90258   908.0          N/A  I-----T-------------  ruthenium 104 (Ru-104)
   81   0  44105.09c     09c  TRA   44 105 0  104.91124   908.0          N/A  I-----T-------------  ruthenium 105 (Ru-105)
   82   0  44106.09c     09c  TRA   44 106 0  105.90680   908.0          N/A  I-----T-------------  ruthenium 106 (Ru-106)
   83   0  45103.09c     09c  TRA   45 103 0  102.90501   908.0          N/A  I-----T-I-----------  rhodium 103 (Rh-103)
   84   0  45105.09c     09c  TRA   45 105 0  104.90116   908.0          N/A  I-----T-I-----------  rhodium 105 (Rh-105)
   85   0  46102.09c     09c  TRA   46 102 0  101.90562   908.0          N/A  I-----T-------------  palladium 102 (Pd-102)
   86   0  46104.09c     09c  TRA   46 104 0  103.90399   908.0          N/A  I-----T-------------  palladium 104 (Pd-104)
   87   0  46105.09c     09c  TRA   46 105 0  104.90519   908.0          N/A  I-----T-------------  palladium 105 (Pd-105)
   88   0  46106.09c     09c  TRA   46 106 0  105.90346   908.0          N/A  I-----T-I-----------  palladium 106 (Pd-106)
   89   0  46107.09c     09c  TRA   46 107 0  106.90537   908.0          N/A  I-----T-------------  palladium 107 (Pd-107)
   90   0  46108.09c     09c  TRA   46 108 0  107.90385   908.0          N/A  I-----T-I-----------  palladium 108 (Pd-108)
   91   0  46110.09c     09c  TRA   46 110 0  109.90514   908.0          N/A  I-----T-I-----------  palladium 110 (Pd-110)
   92   0  47107.09c     09c  TRA   47 107 0  106.90537   908.0          N/A  I-----T-I-----------  silver 107 (Ag-107)
   93   0  47109.09c     09c  TRA   47 109 0  108.90455   908.0          N/A  I-----T-I-----------  silver 109 (Ag-109)
   94   0  47310.09c     09c  TRA   47 110 1  109.90615   908.0          N/A  I-----T-------------  silver 110m (Ag-110m)
   95   0  47111.09c     09c  TRA   47 111 0  110.90574   908.0          N/A  I-----T-------------  silver 111 (Ag-111)
